Asset,Blockchain,Contract address,Token ID,Description,Ressources,V/F,PIC,,% V,Total
Cryptopunk,Ethereum,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/1,https://etherscan.io/address/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,V,PIC01,,50.49%,307
Cryptopunk,Ethereum,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1000,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/1000,https://etherscan.io/address/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,V,PIC02,,,
Artblock,Ethereum,0x64931F06d3266049Bf0195346973762E6996D764,740,https://opensea.io/assets/ethereum/0x64931f06d3266049bf0195346973762e6996d764/740,https://etherscan.io/address/0x64931f06d3266049bf0195346973762e6996d764,V,PIC03,,,
Artblock,Ethereum,0x64931F06d3266049Bf0195346973762E6996D764,292,https://opensea.io/assets/ethereum/0x64931f06d3266049bf0195346973762e6996d764/292,https://etherscan.io/address/0x64931f06d3266049bf0195346973762e6996d764,V,PIC04,,,
Bored Ape Yacht Club,Ethereum,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9274,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9274,https://etherscan.io/address/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d#code,V,PIC05,,,
Bored Ape Yacht Club,Ethereum,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2687,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2687,https://etherscan.io/address/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d#code,V,PIC06,,,
Pudgy Penguins,Ethereum,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,5597,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/5597,https://etherscan.io/address/0xbd3531da5cf5857e7cfaa92426877b022e612cf8,V,PIC07,,,
Pudgy Penguins,Ethereum,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,8459,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/8459,https://etherscan.io/address/0xbd3531da5cf5857e7cfaa92426877b022e612cf8,V,PIC08,,,
World of Women,Ethereum,0xe785E82358879F061BC3dcAC6f0444462D4b5330,4237,https://opensea.io/assets/ethereum/0xe785e82358879f061bc3dcac6f0444462d4b5330/4237,https://etherscan.io/address/0xe785e82358879f061bc3dcac6f0444462d4b5330,V,PIC09,,,
World of Women,Ethereum,0xe785E82358879F061BC3dcAC6f0444462D4b5330,2053,https://opensea.io/assets/ethereum/0xe785e82358879f061bc3dcac6f0444462d4b5330/2053,https://etherscan.io/address/0xe785e82358879f061bc3dcac6f0444462d4b5330,V,PIC10,,,
Bored Apes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40021176149709825850022050212743607141213325856229775655480585341763709829121,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40021176149709825850022050212743607141213325856229775655480585341763709829121,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e#code,F,PIC11,,,
Bored Apes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40021176149709825850022050212743607141213325856229775655480585340664198201345,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40021176149709825850022050212743607141213325856229775655480585340664198201345,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e#code,F,PIC12,,,
Artifacts by Emma Miller,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,68128002857422805583013806960501463535381467000216369719658551338048375750657,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/68128002857422805583013806960501463535381467000216369719658551338048375750657,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e#codee,F,PIC13,,,
Mutant Hound Collars,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,98026534009363157054788497800574208850174608732885171209198718908849713053697,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/98026534009363157054788497800574208850174608732885171209198718908849713053697,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC14,,,
Mekaverse,Polygon,0x2953399124f0cbb46d2cbacd8a89cf0599974963,109187190453121201271650808588172028381542416851704706632395628130275564716044,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/109187190453121201271650808588172028381542416851704706632395628130275564716044,https://polygonscan.com/address/0x2953399124f0cbb46d2cbacd8a89cf0599974963,F,PIC15,,,
BabyPepes,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,14842930672306685415758205929631665932142134509743519987343855255142870810625,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/14842930672306685415758205929631665932142134509743519987343855255142870810625,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC16,,,
Artifacts by Emma Miller,Ethereum,0x4cBE3724cAF315da7e2B08084aFb7A34CFBa2398,514,https://opensea.io/assets/ethereum/0x4cbe3724caf315da7e2b08084afb7a34cfba2398/514,https://etherscan.io/address/0x4cbe3724caf315da7e2b08084afb7a34cfba2398,V,PIC17,,,
GRIDS By Tristan Rettich,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,102876046766516814375887710841279867966866509361583659394795479520997514674177,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/102876046766516814375887710841279867966866509361583659394795479520997514674177,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC18,,,
Surreal Dreams by Kaysurreal,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,40320363797662230735878504346961507628508005011297113982907502983594230415361,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40320363797662230735878504346961507628508005011297113982907502983594230415361,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC19,,,
The Working Dead,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,112044904233472648461597897974434982420329966890583405159506723365054861803521,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/112044904233472648461597897974434982420329966890583405159506723365054861803521,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC20,,,
You are the Champion,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,43758794250234192188553439057935539872575918329819015340020430411026546032641,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/43758794250234192188553439057935539872575918329819015340020430411026546032641,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC21,,,
Galxe Stargator Soldier Collection Optimis.,Polygon,0x2953399124f0cbb46d2cbacd8a89cf0599974963,670450190471280060710954984719024720941266701438335872135542255446099243720,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/670450190471280060710954984719024720941266701438335872135542255446099243720,https://polygonscan.com/address/0x2953399124f0cbb46d2cbacd8a89cf0599974963,F,PIC22,,,
BYOLAND NFT,Polygon,0x2953399124f0cbb46d2cbacd8a89cf0599974963,,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/98141189422688303991740946560119142133308861506185173728125490863326346870785,https://polygonscan.com/address/0x2953399124f0cbb46d2cbacd8a89cf0599974963,F,PIC23,,,
Prometheus Lab,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,24913294724164198605805910092331045591910551383015558573360603482998762897409,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/24913294724164198605805910092331045591910551383015558573360603482998762897409,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC24,,,
Rogue Society Bot,Ethereum,0x495f947276749ce646f68ac8c248420045cb7b5e,54376477365042831694076225437146854225839812795059010587517922746489026641921,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/54376477365042831694076225437146854225839812795059010587517922746489026641921,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC25,NE FONCTIONNE PAS,,
Metal Heads.,Polygon,0x2953399124f0cbb46d2cbacd8a89cf0599974963,96170200172564873500295593759760080034337236193015578736630134591255566352385,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/96170200172564873500295593759760080034337236193015578736630134591255566352385,https://polygonscan.com/address/0x2953399124f0cbb46d2cbacd8a89cf0599974963,F,PIC26,,,
Slacker Duck Pond,Ethereum,0xec516efecd8276efc608ecd958a4eab8618c61e8,4480,https://opensea.io/assets/ethereum/0xec516efecd8276efc608ecd958a4eab8618c61e8/4480,https://etherscan.io/address/0xec516efecd8276efc608ecd958a4eab8618c61e8,V,PIC27,,,
Baby Duck Pond,Ethereum,0xe41161b8692a2f8aeda6b85d5b92ec6f5724ced7,365,https://opensea.io/assets/ethereum/0xe41161b8692a2f8aeda6b85d5b92ec6f5724ced7/365,https://etherscan.io/address/0xe41161b8692a2f8aeda6b85d5b92ec6f5724ced7,V,PIC28,,,
Kryptoria - Alpha Heroes,Ethereum,0x4d33b3cbd5c8971a67d8f555c73a7ca740c498bd,6787,https://opensea.io/assets/ethereum/0x4d33b3cbd5c8971a67d8f555c73a7ca740c498bd/6787,https://etherscan.io/address/0x4d33b3cbd5c8971a67d8f555c73a7ca740c498bd,F,PIC29,,,
Terraforms by Mathcastles Explained: Onchain land art from a dynamically generated 3D world (Open Edition),Ethereum,0x152888f51beec20975124da76dfa35ba539bbc2d,83,https://opensea.io/assets/ethereum/0x152888f51beec20975124da76dfa35ba539bbc2d/83,https://etherscan.io/address/0x152888f51beec20975124da76dfa35ba539bbc2d,F,PIC30,,,
CrypToadz,Ethereum,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,4225,https://opensea.io/assets/ethereum/0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6/4225,https://etherscan.io/address/0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,V,PIC31,,,
CrypToadz,Ethereum,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,559,https://opensea.io/assets/ethereum/0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6/559,https://etherscan.io/address/0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,V,PIC32,,,
CrypGhostz,Ethereum,0x635CAf7C582641C7780d14A9559edf75C858c072,4225,https://opensea.io/assets/ethereum/0x635caf7c582641c7780d14a9559edf75c858c072/4225,https://etherscan.io/address/0x635caf7c582641c7780d14a9559edf75c858c072,F,PIC33,,,
Bored Ape Kennel Club,Ethereum,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,2440,https://opensea.io/assets/ethereum/0xba30e5f9bb24caa003e9f2f0497ad287fdf95623/2440,https://etherscan.io/address/0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,V,PIC34,,,
Clone X - X Takashi Murakami,Ethereum,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,16977,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/10865,https://etherscan.io/address/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,V,PIC35,,,
Clone X - X Takashi Murakami,Ethereum,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,12252,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/11306,https://etherscan.io/address/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,V,PIC36,,,
Nakamigos - Cloaks,Ethereum,0x0c56f29B8D90eea71D57CAdEB3216b4Ef7494abC,15689,https://opensea.io/assets/ethereum/0x0c56f29b8d90eea71d57cadeb3216b4ef7494abc/15689,https://etherscan.io/address/0x0c56f29b8d90eea71d57cadeb3216b4ef7494abc,V,PIC37,,,
Nakamigos - Cloaks,Ethereum,0x0c56f29B8D90eea71D57CAdEB3216b4Ef7494abC,15189,https://opensea.io/assets/ethereum/0x0c56f29b8d90eea71d57cadeb3216b4ef7494abc/15189,https://etherscan.io/address/0x0c56f29b8d90eea71d57cadeb3216b4ef7494abc,V,PIC38,,,
Nakamigos - Cloaks,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,33057581581890475673659982806183577281015071726457281636832529286702057914369,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/33057581581890475673659982806183577281015071726457281636832529286702057914369,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC39,,,
Lil Pudgys,Ethereum,0x3d1E3bb7d669C8a96D7a606Ea241060c5Ec9cE6a,13,https://opensea.io/assets/base/0x3d1e3bb7d669c8a96d7a606ea241060c5ec9ce6a/13,https://basescan.org/address/0x3d1e3bb7d669c8a96d7a606ea241060c5ec9ce6a,F,PIC40,,,
Lil Pudgys,Ethereum,0x524cAB2ec69124574082676e6F654a18df49A048,13571,https://opensea.io/assets/ethereum/0x524cab2ec69124574082676e6f654a18df49a048/13571,https://etherscan.io/address/0x524cab2ec69124574082676e6f654a18df49a048,V,PIC41,,,
Crypto Citizens,Ethereum,0xbDdE08BD57e5C9fD563eE7aC61618CB2ECdc0ce0,6000346,https://opensea.io/assets/ethereum/0xbdde08bd57e5c9fd563ee7ac61618cb2ecdc0ce0/6000346,https://etherscan.io/address/0xbdde08bd57e5c9fd563ee7ac61618cb2ecdc0ce0,V,PIC42,,,
DeGod,Ethereum,0x8821BeE2ba0dF28761AffF119D66390D594CD280,8565,https://opensea.io/assets/ethereum/0x8821bee2ba0df28761afff119d66390d594cd280/8564,https://etherscan.io/address/0x8821bee2ba0df28761afff119d66390d594cd280,V,PIC43,,,
Barely Opepens,Ethereum,0x978E4915C3a310C8725D3f8c24Ce873484d0AC34,92,https://opensea.io/assets/ethereum/0x978e4915c3a310c8725d3f8c24ce873484d0ac34/92,https://etherscan.io/address/0x978e4915c3a310c8725d3f8c24ce873484d0ac34,V,PIC44,,,
Barely Opepens,Polygon,0xE5B03b0E8cE726d00dF164165767EA68d51B6850,1,https://opensea.io/assets/matic/0xe5b03b0e8ce726d00df164165767ea68d51b6850/1,https://polygonscan.com/address/0xe5b03b0e8ce726d00df164165767ea68d51b6850,F,PIC45,,,
Pudgy Penguins,Ethereum,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,5910,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/5910,https://etherscan.io/address/0xbd3531da5cf5857e7cfaa92426877b022e612cf8,V,PIC46,,,
Deadmigos,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,3642975230110225785701496934298379649310470850627954994466652576593037230081,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/3642975230110225785701496934298379649310470850627954994466652576593037230081,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC47,,,
SchizoPosters,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,11006267601571840661815416617629607740655465782257532403451045094689836367873,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/11006267601571840661815416617629607740655465782257532403451045094689836367873,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC48,,,
Terraforms by Mathcastles,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,95041836124120233483729028283372100141115776094951527918558719341639982120961,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95041836124120233483729028283372100141115776094951527918558719341639982120961,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC49,,,
Valeria Games Genesis Lands,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40215280965255643286036880633876771059227150569479714721657421655811630825473,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40215280965255643286036880633876771059227150569479714721657421655811630825473,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC50,,,
Valeria Champions,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40215280965255643286036880633876771059227150569479714721657421671204793614337,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40215280965255643286036880633876771059227150569479714721657421671204793614337,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC51,,,
Fables by MetaKozo,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40215280965255643286036880633876771059227150569479714721657421628323840131073,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40215280965255643286036880633876771059227150569479714721657421628323840131073,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC52,,,
Fables by MetaKozo,Ethereum,0x0799590A1BC08695111A5a72BbA87297531099E1,1568,https://opensea.io/assets/ethereum/0x0799590a1bc08695111a5a72bba87297531099e1/1568,https://etherscan.io/address/0x0799590a1bc08695111a5a72bba87297531099e1,V,PIC53,,,
Meebit,Ethereum,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,19712,https://opensea.io/assets/ethereum/0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7/19712,https://etherscan.io/address/0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,V,PIC54,,,
Moonbirds,Ethereum,0x23581767a106ae21c074b2276D25e5C3e136a68b,1659,https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/1659,https://etherscan.io/address/0x23581767a106ae21c074b2276d25e5c3e136a68b,V,PIC55,,,
Moonbirds,Ethereum,0x23581767a106ae21c074b2276D25e5C3e136a68b,5351,https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/5351,https://etherscan.io/address/0x23581767a106ae21c074b2276d25e5c3e136a68b,V,PIC56,,,
Kitaro World,Ethereum,0x39D3230c84EFCB5559D22F499151934476B5c16d,308,https://opensea.io/assets/ethereum/0x39d3230c84efcb5559d22f499151934476b5c16d/308,https://etherscan.io/address/0x39d3230c84efcb5559d22f499151934476b5c16d,V,PIC57,,,
The Beacon,Ethereum,0x990eB28e378659b93A29D46fF41F08DC6316DD98,230619,https://opensea.io/assets/arbitrum/0x990eb28e378659b93a29d46ff41f08dc6316dd98/230619,https://arbiscan.io//address/0x990eb28e378659b93a29d46ff41f08dc6316dd98,V,PIC58,,,
GridHaus,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,72128101939258565771664964377355881574373941480583879990405294150881615282177,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/72128101939258565771664964377355881574373941480583879990405294150881615282177,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC59,,,
GridHaus,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,72128101939258565771664964377355881574373941480583879990405294154180150165505,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/72128101939258565771664964377355881574373941480583879990405294154180150165505,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC60,,,
Spirits by SuperNfty,Ethereum,0xB9373E7D7f54b6d722194c5609D3DE85E971cA4e,174,https://opensea.io/assets/ethereum/0xb9373e7d7f54b6d722194c5609d3de85e971ca4e/174,https://etherscan.io/address/0xb9373e7d7f54b6d722194c5609d3de85e971ca4e,V,PIC61,,,
Spirits by SuperNfty,Ethereum,0xB9373E7D7f54b6d722194c5609D3DE85E971cA4e,64,https://opensea.io/assets/ethereum/0xb9373e7d7f54b6d722194c5609d3de85e971ca4e/64,https://etherscan.io/address/0xb9373e7d7f54b6d722194c5609d3de85e971ca4e,V,PIC62,,,
Bored Ape,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,79057610344697608252928942283937919389615892139411144090173997063102131077121,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/79057610344697608252928942283937919389615892139411144090173997063102131077121,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC63,,,
Fake Friend,Polygon,0x2953399124F0cBB46d2CbACD8A89cF0599974963,79860721899891373286061363264887009073309127328195258923669546626951331971073,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/79860721899891373286061363264887009073309127328195258923669546626951331971073,https://polygonscan.com/address/0x2953399124f0cbb46d2cbacd8a89cf0599974963,F,PIC64,,,
Gutter Clones,Ethereum,0x41f20599e9e049004C4d169046eb7023117a6244,14865,https://opensea.io/assets/ethereum/0x41f20599e9e049004c4d169046eb7023117a6244/14865,https://etherscan.io/address/0x41f20599e9e049004c4d169046eb7023117a6244,V,PIC65,,,
Gutter Clones,Ethereum,0x41f20599e9e049004C4d169046eb7023117a6244,5294,https://opensea.io/assets/ethereum/0x41f20599e9e049004c4d169046eb7023117a6244/5294,https://etherscan.io/address/0x41f20599e9e049004c4d169046eb7023117a6244,V,PIC66,,,
The Farmacy Fantoms,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,23503254871503141073582441315863122727356874136520304361170100693753625837569,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/23503254871503141073582441315863122727356874136520304361170100693753625837569,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/23503254871503141073582441315863122727356874136520304361170100693753625837569,F,PIC67,,,
The Farmacy Fantoms,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,23503254871503141073582441315863122727356874136520304361170100694853137465345,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/23503254871503141073582441315863122727356874136520304361170100694853137465345,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/23503254871503141073582441315863122727356874136520304361170100693753625837569,F,PIC68,,,
The Farmacy Fantoms,Ethereum,0xf8c4030abd81eB1Eb3564d7904D4F3dDA4885ADF,3775,https://opensea.io/assets/ethereum/0xf8c4030abd81eb1eb3564d7904d4f3dda4885adf/3775,https://etherscan.io/address/0xf8c4030abd81eb1eb3564d7904d4f3dda4885adf,V,PIC69,,,
The Weirdos Series 2 & 3,Ethereum,0xEB4b39C652E7FEEE06C94F32dE1024D7Afb1D71B,29,https://opensea.io/assets/ethereum/0xeb4b39c652e7feee06c94f32de1024d7afb1d71b/29,https://etherscan.io/address/0xeb4b39c652e7feee06c94f32de1024d7afb1d71b,F,PIC70,,,
The Weirdos - Series 1,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,107681586130635851379788047178493044856461104042989100482912416264110758428673,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/107681586130635851379788047178493044856461104042989100482912416264110758428673,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,V,PIC71,,,
Toshies,Ethereum,0x1562e3428ed1d6CDBdb1695Cc505AbA33AB4Ea5e,432,https://opensea.io/assets/ethereum/0x1562e3428ed1d6cdbdb1695cc505aba33ab4ea5e/432,https://etherscan.io/address/0x1562e3428ed1d6cdbdb1695cc505aba33ab4ea5e,V,PIC72,,,
Pieland,Ethereum,0xd3cD44f07744da3A6e60a4b5fdA1370400Ad515b,7113,https://opensea.io/assets/ethereum/0xd3cd44f07744da3a6e60a4b5fda1370400ad515b/7113,https://etherscan.io/address/0xd3cd44f07744da3a6e60a4b5fda1370400ad515b,V,PIC73,,,
Pieland,Ethereum,0xd3cD44f07744da3A6e60a4b5fdA1370400Ad515b,7664,https://opensea.io/assets/ethereum/0xd3cd44f07744da3a6e60a4b5fda1370400ad515b/7664,https://etherscan.io/address/0xd3cd44f07744da3a6e60a4b5fda1370400ad515b,V,PIC74,,,
