Asset,Blockchain,Contract address,Token ID,Description,Ressources,V/F,PIC,,% V,Total
The Sanctuary,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,70883503234643379025467866937584169186633712880680534476648098261448339226625,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/70883503234643379025467866937584169186633712880680534476648098261448339226625,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC75,,,
The Sanctuary,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,70883503234643379025467866937584169186633712880680534476648098263647362482177,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/70883503234643379025467866937584169186633712880680534476648098263647362482177,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC76,,,
Shredderz,Polygon,0xAa3571337A0EC16C926bDe57CA4B871ADc5ee886,351,https://opensea.io/assets/matic/0xaa3571337a0ec16c926bde57ca4b871adc5ee886/351,https://polygonscan.com/address/0xaa3571337a0ec16c926bde57ca4b871adc5ee886,F,PIC77,,,
Shredderz,Polygon,0xAa3571337A0EC16C926bDe57CA4B871ADc5ee886,312,https://opensea.io/assets/matic/0xaa3571337a0ec16c926bde57ca4b871adc5ee886/312,https://polygonscan.com/address/0xaa3571337a0ec16c926bde57ca4b871adc5ee886,F,PIC78,,,
Bear Market A**Holes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,69148936491253708497156314951101642445679739563785770007668403318816801554433,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/69148936491253708497156314951101642445679739563785770007668403318816801554433,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC79,,,
Bear Market A**Holes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,69148936491253708497156314951101642445679739563785770007668403312219731787777,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/69148936491253708497156314951101642445679739563785770007668403312219731787777,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC80,,,
Seedworld Vanguards,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,20669106043232436742481438964644892640714890699588941151472407882180555964417,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/20669106043232436742481438964644892640714890699588941151472407882180555964417,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC81,,,
Seedworld Vanguards,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,20669106043232436742481438964644892640714890699588941151472407885479090847745,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/20669106043232436742481438964644892640714890699588941151472407885479090847745,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC82,,,
"Cuba""Cuba"" A place that stole my heart",Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,56685760477045004793972724229340420129790063059136279868280112669093733072897,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/56685760477045004793972724229340420129790063059136279868280112669093733072897,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,V,PIC83,,,
"Cuba""Cuba"" A place that stole my heart",Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,56685760477045004793972724229340420129790063059136279868280112673491779584001,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/56685760477045004793972724229340420129790063059136279868280112673491779584001,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,V,PIC84,,,
Metaworld Cat,Polygon,0xe6Ea485c426B00166cEE5543d610BBaAeE154FbE,204,https://opensea.io/assets/matic/0xe6ea485c426b00166cee5543d610bbaaee154fbe/204,https://polygonscan.com/address/0xe6ea485c426b00166cee5543d610bbaaee154fbe,V,PIC85,,,
Metaworld Cat,Polygon,0xe6Ea485c426B00166cEE5543d610BBaAeE154FbE,696,https://opensea.io/assets/matic/0xe6ea485c426b00166cee5543d610bbaaee154fbe/696,https://polygonscan.com/address/0xe6ea485c426b00166cee5543d610bbaaee154fbe,V,PIC86,,,
CryptoSkull,Ethereum,0xc1Caf0C19A8AC28c41Fe59bA6c754e4b9bd54dE9,1260,https://opensea.io/assets/ethereum/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1260,https://etherscan.io/address/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9,V,PIC87,,,
Loud Punx NFT,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,84823889240954675335128669285617732852789849137528365654071885226065189142529,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/84823889240954675335128669285617732852789849137528365654071885226065189142529,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC88,,,
Loud Punx NFT,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,84823889240954675335128669285617732852789849137528365654071885222766654259201,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/84823889240954675335128669285617732852789849137528365654071885222766654259201,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC89,,,
Bitchcoin,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,23454874496326082751230642210503912529347837994872914812256794980359954497537,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/23454874496326082751230642210503912529347837994872914812256794980359954497537,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC90,,,
Beanz,Ethereum,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,18436,https://opensea.io/assets/ethereum/0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949/18436,https://etherscan.io/address/0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,V,PIC91,,,
Beanz,Ethereum,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,769,https://opensea.io/assets/ethereum/0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949/769,https://etherscan.io/address/0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,V,PIC92,,,
Beanz,Ethereum,0x7f713B37712519D104E6aE73646856FcEc40B64D,3787,https://opensea.io/assets/ethereum/0x7f713b37712519d104e6ae73646856fcec40b64d/3787,https://etherscan.io/address/0x7f713b37712519d104e6ae73646856fcec40b64d,F,PIC93,,,
Beanz,Ethereum,0x7f713B37712519D104E6aE73646856FcEc40B64D,3786,https://opensea.io/assets/ethereum/0x7f713b37712519d104e6ae73646856fcec40b64d/3786,https://etherscan.io/address/0x7f713b37712519d104e6ae73646856fcec40b64d,F,PIC94,,,
The Random NFT,Ethereum,0x79Aa05963c92A2a10d96bD840Eb5e73a1E675E92,4501,https://opensea.io/assets/ethereum/0x79aa05963c92a2a10d96bd840eb5e73a1e675e92/4501,https://etherscan.io/address/0x79aa05963c92a2a10d96bd840eb5e73a1e675e92,V,PIC95,,,
The Random NFT,Ethereum,0x79Aa05963c92A2a10d96bD840Eb5e73a1E675E92,4686,https://opensea.io/assets/ethereum/0x79aa05963c92a2a10d96bd840eb5e73a1e675e92/4686,https://etherscan.io/address/0x79aa05963c92a2a10d96bd840eb5e73a1e675e92,V,PIC96,,,
The Randoms honorary NFTs,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,81352027921636284020689300749587764807129889703630833957402944200689793892353,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/81352027921636284020689300749587764807129889703630833957402944200689793892353,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC97,,,
The Randoms honorary NFTs,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,81352027921636284020689300749587764807129889703630833957402944199590282264577,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/81352027921636284020689300749587764807129889703630833957402944199590282264577,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC98,,,
Sticker Bomb,Ethereum,0xC5254C5419390e460cd7DF6556f28390C184F76d,3,https://opensea.io/assets/ethereum/0xc5254c5419390e460cd7df6556f28390c184f76d/3,https://etherscan.io/address/0xc5254c5419390e460cd7df6556f28390c184f76d,V,PIC99,,,
Sticker Bomb,Ethereum,0xC5254C5419390e460cd7DF6556f28390C184F76d,5,https://opensea.io/assets/ethereum/0xc5254c5419390e460cd7df6556f28390c184f76d/5,https://etherscan.io/address/0xc5254c5419390e460cd7df6556f28390c184f76d,V,PIC100,,,
Fableborne Primordials,Polygon,0xA12C6Af626218Ae1b3341771Ab1A657B44050e7a,654,https://opensea.io/assets/matic/0xa12c6af626218ae1b3341771ab1a657b44050e7a/654,https://polygonscan.com/address/0xa12c6af626218ae1b3341771ab1a657b44050e7a,V,PIC101,,,
Fableborne Primordials,Polygon,0xA12C6Af626218Ae1b3341771Ab1A657B44050e7a,964,https://opensea.io/assets/matic/0xa12c6af626218ae1b3341771ab1a657b44050e7a/964,https://polygonscan.com/address/0xa12c6af626218ae1b3341771ab1a657b44050e7a,V,PIC102,,,
Fableborne Primordial,Polygon,0x2953399124F0cBB46d2CbACD8A89cF0599974963,74899437171559244233824178455163294481270669633468213209210366239955637764097,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/74899437171559244233824178455163294481270669633468213209210366239955637764097,https://polygonscan.com/address/0x2953399124f0cbb46d2cbacd8a89cf0599974963,F,PIC103,,,
Otherside vessels,Ethereum,0x5b1085136a811e55b2Bb2CA1eA456bA82126A376,59729,https://opensea.io/assets/ethereum/0x5b1085136a811e55b2bb2ca1ea456ba82126a376/59729,https://etherscan.io/address/0x5b1085136a811e55b2bb2ca1ea456ba82126a376,V,PIC104,,,
Otherside vessels,Ethereum,0x5b1085136a811e55b2Bb2CA1eA456bA82126A376,53958,https://opensea.io/assets/ethereum/0x5b1085136a811e55b2bb2ca1ea456ba82126a376/53958,https://etherscan.io/address/0x5b1085136a811e55b2bb2ca1ea456ba82126a376,V,PIC105,,,
Narcos,Ethereum,0xF419CdbaCdE81a94378c8168059a7526d7779F98,5741,https://opensea.io/assets/ethereum/0xf419cdbacde81a94378c8168059a7526d7779f98/5741,https://etherscan.io/address/0xf419cdbacde81a94378c8168059a7526d7779f98,V,PIC106,,,
Narcos,Ethereum,0xF419CdbaCdE81a94378c8168059a7526d7779F98,6000,https://opensea.io/assets/ethereum/0xf419cdbacde81a94378c8168059a7526d7779f98/6000,https://etherscan.io/address/0xf419cdbacde81a94378c8168059a7526d7779f98,V,PIC107,,,
Narcos,Polygon,0x5a165fb38beAEbDb74eEB2ea6Ff8aa9F1e9A0Ec0,2,https://opensea.io/assets/matic/0x5a165fb38beaebdb74eeb2ea6ff8aa9f1e9a0ec0/2,https://polygonscan.com/address/0x5a165fb38beaebdb74eeb2ea6ff8aa9f1e9a0ec0,F,PIC108,,,
Narcos,Polygon,0x5a165fb38beAEbDb74eEB2ea6Ff8aa9F1e9A0Ec0,1,https://opensea.io/assets/matic/0x5a165fb38beaebdb74eeb2ea6ff8aa9f1e9a0ec0/1,https://polygonscan.com/address/0x5a165fb38beaebdb74eeb2ea6ff8aa9f1e9a0ec0,F,PIC109,,,
Latitudes,Ethereum,0x06588A87485B11ad55B2DB8BF7345A165E19E3C8,238,https://opensea.io/assets/ethereum/0x06588a87485b11ad55b2db8bf7345a165e19e3c8/238,https://etherscan.io/address/0x06588a87485b11ad55b2db8bf7345a165e19e3c8,V,PIC110,,,
Latitudes,Ethereum,0x06588A87485B11ad55B2DB8BF7345A165E19E3C8,133,https://opensea.io/assets/ethereum/0x06588a87485b11ad55b2db8bf7345a165e19e3c8/133,https://etherscan.io/address/0x06588a87485b11ad55b2db8bf7345a165e19e3c8,V,PIC111,,,
Latitudes,Polygon,0x8655882a2941247Ff6f0A56aaDa6126A82643A98,10,https://opensea.io/assets/matic/0x8655882a2941247ff6f0a56aada6126a82643a98/10,https://polygonscan.com/address/0x8655882a2941247ff6f0a56aada6126a82643a98,F,PIC112,,,
Latitudes,Polygon,0x8655882a2941247Ff6f0A56aaDa6126A82643A98,8,https://opensea.io/assets/matic/0x8655882a2941247ff6f0a56aada6126a82643a98/8,https://polygonscan.com/address/0x8655882a2941247ff6f0a56aada6126a82643a98,F,PIC113,,,
Meelier Milo,Ethereum,0x4A3EE93A2853bAd1061A2711f984e71be278a623,1014,https://opensea.io/assets/ethereum/0x4a3ee93a2853bad1061a2711f984e71be278a623/1014,https://etherscan.io/address/0x4a3ee93a2853bad1061a2711f984e71be278a623,V,PIC114,,,
Meelier Milo,Ethereum,0x4A3EE93A2853bAd1061A2711f984e71be278a623,862,https://opensea.io/assets/ethereum/0x4a3ee93a2853bad1061a2711f984e71be278a623/862,https://etherscan.io/address/0x4a3ee93a2853bad1061a2711f984e71be278a623,V,PIC115,,,
Meelier Milo,Ethereum,0x7D9cf51cb09171406e20F10a5f6365107278C121,12,https://opensea.io/assets/ethereum/0x7d9cf51cb09171406e20f10a5f6365107278c121/12,https://etherscan.io/address/0x7d9cf51cb09171406e20f10a5f6365107278c121,F,PIC116,,,
Meelier Milo,Ethereum,0x7D9cf51cb09171406e20F10a5f6365107278C121,11,https://opensea.io/assets/ethereum/0x7d9cf51cb09171406e20f10a5f6365107278c121/11,https://etherscan.io/address/0x7d9cf51cb09171406e20f10a5f6365107278c121,F,PIC117,,,
Meelier Milo,Polygon,0xBa3daCCc5cD29CD58961cFB70de62dE892a5a598,6,https://opensea.io/assets/matic/0xba3daccc5cd29cd58961cfb70de62de892a5a598/6,https://polygonscan.com/address/0xba3daccc5cd29cd58961cfb70de62de892a5a598,F,PIC118,,,
Seizon,Ethereum,0xA6Cd272874Ee7C872Eb66801Eff62784C0b13285,6038,https://opensea.io/assets/ethereum/0xa6cd272874ee7c872eb66801eff62784c0b13285/6038,https://etherscan.io/address/0xa6cd272874ee7c872eb66801eff62784c0b13285,V,PIC119,,,
Seizon,Ethereum,0xA6Cd272874Ee7C872Eb66801Eff62784C0b13285,4626,https://opensea.io/assets/ethereum/0xa6cd272874ee7c872eb66801eff62784c0b13285/4626,https://etherscan.io/address/0xa6cd272874ee7c872eb66801eff62784c0b13285,V,PIC120,,,
Seizon Zenith,Ethereum,0xe7bB385693616C29A9dbc45aB0195D35C8171fAA,1,https://opensea.io/assets/ethereum/0xe7bb385693616c29a9dbc45ab0195d35c8171faa/1,https://etherscan.io/address/0xe7bb385693616c29a9dbc45ab0195d35c8171faa,V,PIC121,,,
Seizon,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,24757268225556079283130811718665151569318453317035121778778977491016990327784,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/24757268225556079283130811718665151569318453317035121778778977491016990327784,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC122,,,
Seizon,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,24757268225556079283130811718665151569318453317035121778778977485519432188004,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/24757268225556079283130811718665151569318453317035121778778977485519432188004,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC123,,,
Jerks,Ethereum,0x652599872d2B2A633cDd83D394fE2fCe4DCeFc74,263,https://opensea.io/assets/ethereum/0x652599872d2b2a633cdd83d394fe2fce4dcefc74/263,https://etherscan.io/address/0x652599872d2b2a633cdd83d394fe2fce4dcefc74,V,PIC124,,,
Jerks,Ethereum,0x652599872d2B2A633cDd83D394fE2fCe4DCeFc74,245,https://opensea.io/assets/ethereum/0x652599872d2b2a633cdd83d394fe2fce4dcefc74/245,https://etherscan.io/address/0x652599872d2b2a633cdd83d394fe2fce4dcefc74,V,PIC125,,,
Jerks,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40479553961876160682244477383739974125115672039581190735500005441255904378881,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40479553961876160682244477383739974125115672039581190735500005441255904378881,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC126,,,
Jerks,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40479553961876160682244477383739974125115672039581190735500005444554439262209,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40479553961876160682244477383739974125115672039581190735500005444554439262209,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC127,,,
CNP / Cryptoninja,Ethereum,0x138A5C693279b6Cd82F48d4bEf563251Bc15ADcE,18647,https://opensea.io/assets/ethereum/0x138a5c693279b6cd82f48d4bef563251bc15adce/18647,https://etherscan.io/address/0x138a5c693279b6cd82f48d4bef563251bc15adce,V,PIC128,,,
CNP CRYPTONINJA,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,113356970985050531428173483593528358282909149347527985405474368756932946165761,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/113356970985050531428173483593528358282909149347527985405474368756932946165761,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC129,,,
CNP CRYPTONINJA,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,113356970985050531428173483593528358282909149347527985405474368777823667093505,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/113356970985050531428173483593528358282909149347527985405474368777823667093505,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC130,,,
Blockgames Dice,Ethereum,0x0581dDf7A136c6837429a46C6Cb7b388A3E52971,4280,https://opensea.io/assets/ethereum/0x0581ddf7a136c6837429a46c6cb7b388a3e52971/4280,https://etherscan.io/address/0x0581ddf7a136c6837429a46c6cb7b388a3e52971,V,PIC131,,,
Blockgames Dice,Ethereum,0x0581dDf7A136c6837429a46C6Cb7b388A3E52971,1729,https://opensea.io/assets/ethereum/0x0581ddf7a136c6837429a46c6cb7b388a3e52971/1729,https://etherscan.io/address/0x0581ddf7a136c6837429a46c6cb7b388a3e52971,V,PIC132,,,
Blockgames,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,31823987234978311487127514018542145550640154260638109325048321090622236655617,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/31823987234978311487127514018542145550640154260638109325048321090622236655617,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC133,,,
Blockgames,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,31823987234978311487127514018542145550640154260638109325048321099418329677825,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/31823987234978311487127514018542145550640154260638109325048321099418329677825,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC134,,,
Blockgames Dice,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,61767926296749021706028564359504661518595169885718309039731035479714811609089,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/61767926296749021706028564359504661518595169885718309039731035479714811609089,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC135,,,
Nakamigos,Ethereum,0xd774557b647330C91Bf44cfEAB205095f7E6c367,2118,https://opensea.io/assets/ethereum/0xd774557b647330c91bf44cfeab205095f7e6c367/2118,https://etherscan.io/address/0xd774557b647330c91bf44cfeab205095f7e6c367,V,PIC136,,,
Nakamigos,Ethereum,0xd774557b647330C91Bf44cfEAB205095f7E6c367,16042,https://opensea.io/assets/ethereum/0xd774557b647330c91bf44cfeab205095f7e6c367/16042,https://etherscan.io/address/0xd774557b647330c91bf44cfeab205095f7e6c367,V,PIC137,,,
Nakamigos Deriv,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,79331945328800392540291683334592811767649565428668033505622506630592736526337,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/79331945328800392540291683334592811767649565428668033505622506630592736526337,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC138,,,
Nakamigos Deriv,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,79331945328800392540291683334592811767649565428668033505622506627294201643009,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/79331945328800392540291683334592811767649565428668033505622506627294201643009,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC139,,,
Otherdeed Expanded,Ethereum,0x790B2cF29Ed4F310bf7641f013C65D4560d28371,63828,https://opensea.io/assets/ethereum/0x790b2cf29ed4f310bf7641f013c65d4560d28371/63828,https://etherscan.io/address/0x790b2cf29ed4f310bf7641f013c65d4560d28371,V,PIC140,,,
Otherdeed Expanded,Ethereum,0x790B2cF29Ed4F310bf7641f013C65D4560d28371,89174,https://opensea.io/assets/ethereum/0x790b2cf29ed4f310bf7641f013c65d4560d28371/89174,https://etherscan.io/address/0x790b2cf29ed4f310bf7641f013c65d4560d28371,V,PIC141,,,
Dorkz,Ethereum,0x9B1750e5e27b491F2e3b3Fa969e11a41f4eBb550,1327,https://opensea.io/assets/ethereum/0x9b1750e5e27b491f2e3b3fa969e11a41f4ebb550/1327,https://etherscan.io/address/0x9b1750e5e27b491f2e3b3fa969e11a41f4ebb550,V,PIC142,,,
Dorkz,Ethereum,0x9B1750e5e27b491F2e3b3Fa969e11a41f4eBb550,4673,https://opensea.io/assets/ethereum/0x9b1750e5e27b491f2e3b3fa969e11a41f4ebb550/4673,https://etherscan.io/address/0x9b1750e5e27b491f2e3b3fa969e11a41f4ebb550,V,PIC143,,,
Impossible distance,Ethereum,0x68d0F6d1d99Bb830E17fFaA8aDB5BbeD9D6EEc2E,265,https://opensea.io/assets/ethereum/0x68d0f6d1d99bb830e17ffaa8adb5bbed9d6eec2e/1733,https://etherscan.io/address/0x68d0f6d1d99bb830e17ffaa8adb5bbed9d6eec2e,V,PIC144,,,
Impossible distance,Ethereum,0x68d0F6d1d99Bb830E17fFaA8aDB5BbeD9D6EEc2E,294,https://opensea.io/assets/ethereum/0x68d0f6d1d99bb830e17ffaa8adb5bbed9d6eec2e/1900,https://etherscan.io/address/0x68d0f6d1d99bb830e17ffaa8adb5bbed9d6eec2e,V,PIC145,,,
Azuki,Ethereum,0xED5AF388653567Af2F388E6224dC7C4b3241C544,2641,https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/2641,https://etherscan.io/address/0xed5af388653567af2f388e6224dc7c4b3241c544,V,PIC146,,,
Azuki collectionn,Polygon,0x502f985Cf75a8F67555FD6d86F7EBb3ADd7d3B3D,486,https://opensea.io/assets/matic/0x502f985cf75a8f67555fd6d86f7ebb3add7d3b3d/486,https://polygonscan.com/address/0x502f985cf75a8f67555fd6d86f7ebb3add7d3b3d,F,PIC147,,,
Azuki collectionn,Polygon,0x502f985Cf75a8F67555FD6d86F7EBb3ADd7d3B3D,464,https://opensea.io/assets/matic/0x502f985cf75a8f67555fd6d86f7ebb3add7d3b3d/464,https://polygonscan.com/address/0x502f985cf75a8f67555fd6d86f7ebb3add7d3b3d,F,PIC148,,,
LuppyclubOfficiall,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,34526953677166615606401255874019497772427792003246650965682903709787038416897,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/34526953677166615606401255874019497772427792003246650965682903709787038416897,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC149,,,
LuppyclubOfficiall,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,34526953677166615606401255874019497772427792003246650965682903708687526789121,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/34526953677166615606401255874019497772427792003246650965682903708687526789121,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC150,,,
Meta Legends,Ethereum,0xF9c362CDD6EeBa080dd87845E88512AA0A18c615,278,https://opensea.io/assets/ethereum/0xf9c362cdd6eeba080dd87845e88512aa0a18c615/278,https://etherscan.io/address/0xf9c362cdd6eeba080dd87845e88512aa0a18c615,V,PIC151,,,
Meta Legends,Ethereum,0xF9c362CDD6EeBa080dd87845E88512AA0A18c615,1444,https://opensea.io/assets/ethereum/0xf9c362cdd6eeba080dd87845e88512aa0a18c615/1444,https://etherscan.io/address/0xf9c362cdd6eeba080dd87845e88512aa0a18c615,V,PIC152,,,
